city,date,tavg,tmin,tmax,prcp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Banglore,20-12-2020,23.8,,,0,4,313.76,0.22,12,2.41,2.18,30.99,36.09,7.16
Banglore,21-12-2020,22.2,13.2,30.4,0,2,390.53,0,20.22,13.41,3.52,18.8,23.77,13.17
Banglore,22-12-2020,20.7,14.7,,0,4,507.36,1.82,25.02,0.49,4.89,30.98,36.75,14.69
Banglore,23-12-2020,21.5,14.5,29,0,4,554.09,0.62,27.76,1.45,5.19,36.66,42.49,15.33
Banglore,24-12-2020,22.7,15.4,30.7,0,4,473.98,0.95,16.97,1.04,3.93,38.76,44.97,10.89
Banglore,25-12-2020,22.7,14,30.4,0,4,433.92,3.47,14.22,0.36,3.55,31.48,37.61,9.63
Banglore,26-12-2020,21.2,14.8,29.4,0,4,350.48,3.74,9,0.27,2.18,29.66,35.89,5.57
Banglore,27-12-2020,19.2,14,29.7,0,4,320.44,0.08,10.71,4.11,1.73,38.78,44.07,6.27
Banglore,28-12-2020,20.9,13.9,28.5,0,4,360.49,0.07,15.77,4.34,2.86,29.2,34.28,10.39
Banglore,29-12-2020,21.4,14.3,30,0,4,410.56,2.91,17.48,0.34,3.79,25.04,31.54,11.15
Banglore,30-12-2020,22.4,14.4,,0,4,320.44,1.26,10.8,1.04,1.45,29.49,36.12,3.77
Banglore,31-12-2020,22.4,13.5,31.6,0,4,494,0.36,28.45,2.1,5.25,28.44,35.05,15.07
Banglore,01-01-2021,22.4,14.5,31.9,0,3,447.27,1.01,24.68,0.82,4.35,22.32,27.82,12.92
Banglore,02-01-2021,21.7,,29.9,0,4,494,2.63,23.31,0.31,4.53,31.95,37.72,13.68
Banglore,03-01-2021,22.8,,30.5,0,4,427.25,0.02,19.54,5.63,3.16,32.33,37.13,12.67
Banglore,04-01-2021,22.9,14,31.3,0,3,373.84,0.27,18.17,2.03,3.04,23.26,27.87,11.78
Banglore,05-01-2021,22.3,15.9,29.7,0,3,380.52,2.21,12.85,0.31,4.05,24.06,30.15,9.75
Banglore,06-01-2021,20.2,12.5,27.3,0,4,390.53,0.33,16.97,2.3,3.13,25.07,30.9,8.87
Banglore,07-01-2021,22.3,16.9,28,0,4,440.6,0.04,19.54,5.59,4.83,27.46,33.37,12.79
Banglore,08-01-2021,22.8,,28.3,0,5,447.27,0,19.19,15.2,4.71,52.29,57.84,11.65
Banglore,09-01-2021,22.6,,,0,4,403.88,0.1,17.99,4.56,3.31,46.39,52.29,9.5
Banglore,10-01-2021,22.9,17.9,28.5,0,4,287.06,0.05,6.34,3.76,1.13,39,44.04,3.96
Banglore,11-01-2021,23.2,17,29.5,0,5,317.1,0.05,3.94,4.6,0.54,105.23,111.59,0.78
Banglore,12-01-2021,23.1,,,0,5,634.19,0,23.65,19.85,5.84,111.54,118.32,13.43
Banglore,13-01-2021,24.8,16.8,30.6,0,5,397.21,0.02,9.85,7.78,1.34,55.97,62.09,3.2
Banglore,14-01-2021,24.7,19.4,31.5,0,5,433.92,0,13.02,19.49,3.93,55.18,61.77,8.87
Banglore,15-01-2021,25.8,20.6,31.5,,5,433.92,0.02,12.34,10.55,3.61,80.61,88.5,7.85
Banglore,16-01-2021,25.2,18.9,33.4,0,5,567.44,0,21.59,30.04,6.74,80.56,88.28,13.81
Banglore,17-01-2021,23.9,18.8,32.6,0,5,377.18,0,8.31,17.7,2.77,81.41,88.02,7.03
Banglore,18-01-2021,26.3,18.8,32.3,0,5,433.92,0.01,12.68,11.62,3.93,71.43,77.87,11.4
Banglore,19-01-2021,24.8,18.8,31,0,5,343.8,0.11,8.23,3.22,1.16,55.28,61.74,2.09
Banglore,20-01-2021,24.1,17.8,31,0,5,333.79,0.19,5.36,3.58,0.4,68.66,74.11,0.46
Banglore,21-01-2021,24.3,16.4,31.9,0,5,403.88,0,2.53,43.27,1.12,105.97,107.76,0.23
Banglore,22-01-2021,26.1,17.9,32.2,0,5,547.41,0,19.02,14.48,3.99,98.85,106.33,10.39
Banglore,23-01-2021,25.6,18.8,31.5,0,5,507.36,0,16.79,13.23,4.41,76.56,83.67,11.02
Banglore,24-01-2021,25,18.6,31.5,0,5,403.88,0.01,10.28,10.82,3.28,67.82,73.81,9.63
Banglore,25-01-2021,25.2,19,,0,5,373.84,0,10.11,12.7,2.83,61.08,67.21,8.36
Banglore,26-01-2021,23.6,18.6,29.5,,5,460.63,0,18.17,21.1,4.83,56.78,68.94,12.29
Banglore,27-01-2021,27.4,20.1,,0,4,327.11,0.02,8.57,9.3,1.58,46.39,60.09,3.99
Banglore,28-01-2021,26,21.4,31.5,0,4,310.42,0.07,7.88,8.94,2.09,45.87,52.49,6.71
Banglore,29-01-2021,27.1,21,33.6,0,4,417.23,0.22,16.79,2.95,3.55,49.76,58.87,9.75
Banglore,30-01-2021,25.9,20.9,31.6,0,4,423.91,0.13,17.31,2.77,2.18,36.22,42.96,4.62
Banglore,31-01-2021,27.1,,31.5,0,5,360.49,0.02,5.83,6.62,1.59,64.03,69.58,4.12
Banglore,01-02-2021,26.4,21,32.7,0,5,427.25,0,11.65,12.88,3.4,65.39,72.13,9.37
Banglore,02-02-2021,27.6,,32.7,0,5,387.19,0.1,8.05,3.31,0.94,72.37,80.22,2.15
Banglore,03-02-2021,26.7,21.8,32.4,0,5,380.52,0.07,9.08,5.14,1.27,76.4,83.94,3.17
Banglore,04-02-2021,26.2,21.4,33.7,0,5,540.73,0,22.28,13.41,5.19,64.87,72.89,14.31
Banglore,05-02-2021,26.3,20.5,31.5,0,4,534.06,0,25.02,14.13,5.19,47.02,54.34,14.69
Banglore,06-02-2021,21.6,20.1,26.7,2.3,4,500.68,0.01,27.08,9.03,4.71,34.22,40.77,14.82
Banglore,07-02-2021,23.1,20,28.5,1,4,323.77,0,7.37,13.77,2.15,32.43,37.65,6.4
Banglore,08-02-2021,25.3,20,31.3,0,4,263.69,0.07,5.27,3.71,0.63,36.11,40.64,1.74
Banglore,09-02-2021,26.4,21.5,32.7,0.3,4,337.12,0.06,8.48,6.88,1.88,29.86,35.9,4.75
Banglore,10-02-2021,25.8,20.5,33.5,0,4,500.68,0,17.48,18.42,4.89,42.4,49.3,12.79
Banglore,11-02-2021,28.1,21,34.6,0,4,433.92,0.06,16.45,4.6,3.01,36.5,43.74,9.12
Banglore,12-02-2021,25.7,,32.5,0,5,453.95,0,10.11,16.81,3.49,99.84,109.11,6.46
Banglore,13-02-2021,24.8,19,,0,5,540.73,0,17.82,26.11,5.9,101.75,111.37,12.67
Banglore,14-02-2021,24.3,18.4,30.9,0,5,393.87,0,7.54,16.09,2.3,89.36,97.38,6.78
Banglore,15-02-2021,26.2,18,32,0,5,340.46,0.01,7.11,10.64,1.68,50.4,57,5.32
Banglore,16-02-2021,25.8,19.1,32.5,0,5,494,0,13.02,27.54,4.11,80.91,89.38,10.89
Banglore,17-02-2021,26.9,20.3,33.5,0,5,467.3,0,14.4,20.21,3.73,67.27,75.03,10.01
Banglore,18-02-2021,27.5,21.5,34.8,0,5,500.68,0,21.42,29.33,5.19,58.05,65.3,13.43
Banglore,19-02-2021,27.8,22.1,33.8,0,4,467.3,0,19.71,13.59,4.77,48.96,55.98,12.03
Banglore,20-02-2021,27.1,,,0,5,580.79,0,23.31,18.42,6.2,63.35,71.14,15.58
Banglore,21-02-2021,27.6,,34.5,0,5,427.25,0,8.4,8.58,3.13,68.55,75.69,8.74
Banglore,22-02-2021,26.9,21,33.9,0,5,363.83,0.02,6.17,7.96,1.42,65.27,71.47,4.24
Banglore,23-02-2021,27.1,21,34,0,4,377.18,0.06,7.88,4.34,1.31,47.01,53.28,4.12
Banglore,24-02-2021,28.8,,34.3,0,4,460.63,0,9.68,21.28,4.35,47.03,53.69,9.88
Banglore,25-02-2021,27.8,23.4,33,0,5,427.25,0.06,5.74,4.29,0.82,123.91,133.55,1.69
Banglore,26-02-2021,28.7,23.3,33.9,0,5,467.3,0.03,6.51,8.05,1.73,146.88,159.43,3.71
Banglore,27-02-2021,28.5,22.1,34.4,0,5,383.85,0.03,5.74,7.15,0.86,118.1,129.19,1.47
Banglore,28-02-2021,27.8,23,,0,5,337.12,0,3.34,29.68,1.77,102.15,108.92,0.75
Banglore,01-03-2021,29.1,23.6,34.2,,5,310.42,0,3.13,18.42,0.71,70.17,77.97,1.19
Banglore,02-03-2021,29.1,23.6,36.2,0,5,383.85,0.03,4.63,6.44,0.77,90.79,101.85,1.85
Banglore,03-03-2021,27.8,,36,0,5,467.3,0,16.11,8.85,4.71,69.9,92.34,11.15
Banglore,04-03-2021,26.3,22.1,34,0,5,433.92,0.02,5.01,5.99,0.72,78.49,93.56,1.22
Banglore,05-03-2021,26.7,20.9,33.2,0,5,377.18,0,3.26,35.76,1.16,68.03,78.39,1.27
Banglore,06-03-2021,28.4,,32.6,0,5,400.54,0,2.91,46.49,1.67,91.3,103.94,0.63
Banglore,07-03-2021,27.9,22.2,34,,4,330.45,0,6.17,17.52,2.68,46.34,53.91,7.03
Banglore,08-03-2021,27.8,22.4,34,0,5,337.12,0.01,7.8,7.96,2.83,61.25,73.43,7.16
Banglore,09-03-2021,27.1,23.2,33.1,,5,487.33,0,13.37,8.14,2.56,81.85,95.25,5.76
